Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,PrimaryEnergyInputToPower.MWy,PowerOutput.MWy,Capacity.MW,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,CapEx.USD_kW,LCOE.USD_kWh,EffectiveCapacity.MW
arm.coa,ARM,coa,2018,0,0,0,0,0,0.65875,0.357142857,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,0
arm.nga,ARM,nga,2018,632,3376,838.5022736,385.3881279,2390,0.161225545,0.459544434,0.9,0.075808977,0.051561436,0.003238095,0.024247542,944.2857143,0.075808977,385.3290526
arm.oil,ARM,oil,2018,0,0,0,0,0,0.45,0.323193916,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,0
arm.nuc,ARM,nuc,2018,541,2076,717.7685602,236.9863014,407.5,0.581589489,0.330186818,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,236.9977168
arm.wnd,ARM,wnd,2018,0,2,0,0.228310502,11.8,0.01627196,1,0,0.067947992,0.002910714,0.002910714,0.065037278,1655.357143,0.067947992,0.192009128
arm.sol,ARM,sol,2018,2,19,2.653488208,2.168949772,17,0.051573999,0.330417142,0,0.077021936,0,0,0.077021936,967.0967742,0.077021936,0.876757983
arm.hyd,ARM,hyd,2018,199,2318,264.0220767,264.6118721,1336.4,0.19802931,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,264.6463699
arm.ore,ARM,ore,2018,0,0,0,0,0,0.400171531,1,0,0.149953131,0.002562698,0.002562698,0.147390433,4610.524834,0.149953131,0
arm.bio,ARM,bio,2018,0,0,0,0,0,0.771818182,0.35,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,0
aus.coa,AUS,coa,2018,37593,157711,49876.29109,18003.53881,25150,0.715843401,0.360962316,0.9,0.113528231,0.045688011,0.0022,0.06784022,1980,0.113528231,18003.46154
aus.nga,AUS,nga,2018,12302,53817,16321.60596,6143.493151,18331,0.335546698,0.376856697,0.9,0.082484671,0.051856754,0.0044,0.030627918,1060,0.082484671,6150.906521
aus.oil,AUS,oil,2018,1138,4838,1509.83479,552.283105,1878,0.298114499,0.37080814,0,0.190673637,0.123056557,0.005,0.06761708,2330,0.190673637,559.8590291
aus.nuc,AUS,nuc,2018,0,0,0,0,0,0.902222222,0.33,0,0.174007691,0.003933333,0.003933333,0.170074358,7644.444444,0.174007691,0
aus.wnd,AUS,wnd,2018,1304,15164,1730.074311,1731.050228,5818,0.29773846,1,0,0.052984016,0.0059,0.0059,0.047084016,1480,0.052984016,1732.24236
aus.sol,AUS,sol,2018,854,9929,1133.039465,1133.447489,11305,0.100288412,1,0,0.049584402,0,0,0.049584402,780,0.049584402,1133.760498
aus.hyd,AUS,hyd,2018,1361,15831,1805.698725,1807.191781,8725,0.209612594,1,0,0.079959769,9.33E-04,9.33E-04,0.079026435,4293.333333,0.079959769,1828.869883
aus.ore,AUS,ore,2018,350,1254,464.3604363,143.1506849,1,0.422222222,1,0,0.121685458,0.004555556,0.004555556,0.117129902,4368.888889,0.121685458,0.422222222
aus.bio,AUS,bio,2018,807,2264,1070.682492,258.4474886,709,0.566290115,0.374994169,0,0.179806188,0.117785783,0.007963636,0.062020405,2988.181818,0.179806188,401.4996915
aut.coa,AUT,coa,2018,816,3620,1082.623189,413.2420091,1187,0.348115525,0.381677699,0.9,0.09112122,0.048499233,0.00404375,0.042621987,1793.75,0.09112122,413.2131282
