CountryCode,Sector,SubsectorCode,FuelType,Scenario,Model,CTScenarioRate,Year,Time,el_inc,el_dem,el_cons,eff,EmissionsFactor,ProportionOfMaxCTaxRate,BaseYearEnergy,GDPFactor,BaseYearPrice,BaselinePrice,BaseYearEmissions,CTRate,FuelPrice,PriceChangeFactor,IncomeEffect,EfficiencyEffect,PriceEffect,TotalEffect,EnergyConsumption,Emissions,SensitivityPerDolPerT,DeltaPerDolPerT
CHN,ind,ftr,coa,CarbonTax,R,0,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,20,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,40,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,60,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,80,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,100,2018,0,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1,4.295530593,4.295530593,804.9435837696,0,4.295530593,1,1,1,1,1,8508.917376,804.9435837696,-0.011231674168174178,-95.56938749114761
CHN,ind,ftr,coa,CarbonTax,R,0,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,20,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,40,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,60,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,80,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,100,2019,1,0.5,-0.3,-0.3,0.005,0.0946,0,8508.917376,1.061101203,4.295530593,4.371810645,804.9435837696,0,4.371810645,1.0177580045930312,1.0300976667287427,0.9965148083706379,0.9910630655192646,1.0173337479860616,8656.408805429804,818.8962729936595,-0.011529398658076374,-98.10270057653713
CHN,ind,ftr,coa,CarbonTax,R,0,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,0,2.086013953,0.48562428036233063,1.0361621124365754,0.993041763301969,1.445395837833613,1.4872433012150321,12654.830368048188,1197.1469528173586,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,20,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,20,3.9780139530000005,0.9260820908789651,1.0361621124365754,0.993041763301969,1.039941147464993,1.070049784800354,9104.965207072793,861.3297085890863,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,40,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,40,5.870013953000001,1.3665399013955997,1.0361621124365754,0.993041763301969,0.8527713834816283,0.8774610347929653,7466.243445712803,706.3066299644312,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,60,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,60,7.762013953,1.8069977119122338,1.0361621124365754,0.993041763301969,0.7395228928271222,0.7609337453889288,6474.722368124615,612.5087360245886,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,80,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,80,9.654013953,2.247455522428868,1.0361621124365754,0.993041763301969,0.6616640457244242,0.6808207093867157,5793.047164041271,548.0222617183042,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,100,2020,2,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.0736319232490266,4.295530593,2.086013953,804.9435837696,100,11.546013953000001,2.6879133329455027,1.0361621124365754,0.993041763301969,0.6039461493266353,0.6214317499536415,5287.711415178627,500.21749987589817,-0.011556856420095681,-98.3363364048893
CHN,ind,ftr,coa,CarbonTax,R,0,2021,3,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.1724711265770138,4.295530593,2.191060858,804.9435837696,0,2.191060858,0.5100792115345552,1.0828070587953396,0.989580822460902,1.40962895430033,1.5104528059505462,12852.318126180558,1215.8292947366808,-0.012035020784076826,-102.40499747015245
CHN,ind,ftr,coa,CarbonTax,R,20,2021,3,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.1724711265770138,4.295530593,2.191060858,804.9435837696,20,4.0830608580000005,0.9505370220511897,1.0828070587953396,0.989580822460902,1.0262089341541598,1.0996086305945902,9356.478983665873,885.1229118547916,-0.012035020784076826,-102.40499747015245
CHN,ind,ftr,coa,CarbonTax,R,40,2021,3,0.5,-0.3,-0.3,0.005,0.0946,1,8508.917376,1.1724711265770138,4.295530593,2.191060858,804.9435837696,40,5.975060858000001,1.390994832567824,1.0828070587953396,0.989580822460902,0.8450919922391869,0.9055372813320185,7705.141907741812,728.9064244723754,-0.012035020784076826,-102.40499747015245
