CountryCode,FuelType,Year,Capacity.MW,PowerOutput.MWy,EffectiveCapacity.MW,CapacityFactor,ThermalEfficiency,LCOE.TotalCalc.USD_kWh,LCOE.USD_kWh,VarOpex.USD_kWh,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,TotalThisYearDemand.MWy,FuelCostPerkWh,TotalNonCoalAndGasGeneration,RequiredCoalAndGas,MaximumGen,SumMaximumGen,OtherMaximumGen,MinimumGen,RemainderAfterMinimas,MinVarCost,RelVarCost,LogitExp,SumLogitExp,ProportionOfCoalGasGeneration,SumProportionOfCoalGasGeneration,GenerationShare,EffectiveEndOfYearRetirements,TotalEffectiveCapacity,TotalRetirements,TotalPredictedNextYearDemand.MWy,CostOfCheapestOption,RelativeCost,LogitNominator,SumLogitNominator,ProportionOfInvestment,CheckSum,NamePlateEndOfYearRetirements,TotalNewEffectiveInvestmentsNeeded,NewEffectiveInvestments,NewNameplateInvestments,NextYearEffectiveCapacity.MW,NextYearCapacity.MW,ThisYearGenerationCost,Price
CHN,hyd,2021,336036.42790229304,133333.12327096637,133333.12327096637,0.396781754,1,0.07995943500000001,0.079959769,9.33e-4,9.33e-4,0.079026435,816084.5890360001,0,291265.7769179306,524818.8121180695,0,0,0,0,0,0,0,0,0,0,0,0.16338149875917413,5333.324930838655,819447.919799282,32777.91679197128,816084.5890360001,0.04080655863543477,1.9594750862075017,0.14093237885804843,1.6397780006920837,0.08594601147141052,1,13441.457116091722,32777.91679197128,2817.131212611703,7099.951507880332,130816.92955273941,329694.92229408165,0,0
CHN,ore,2021,8760.45597493334,5227.54132178801,5227.54132178801,0.596720232,1,0.123570714,0.123570713,0.005555556,0.005555556,0.118015158,816084.5890360001,0,291265.7769179306,524818.8121180695,0,0,0,0,0,0,0,0,0,0,0,0.0064056366117182075,209.1016528715204,819447.919799282,32777.91679197128,816084.5890360001,0.04080655863543477,3.0282071836534676,0.04840233688614829,1.6397780006920837,0.029517615717322487,1,350.4182389973337,32777.91679197128,967.5259518797801,1621.4063140392734,5985.96562079627,10031.44404997528,0,0
CHN,bio,2021,13263.69933588504,13263.69933588504,13263.69933588504,1,0.287212967,0.10513445220132239,0.147883708,0.0121,0.0791728912013224,0.025961561,816084.5890360001,0.0670728912013224,291265.7769179306,524818.8121180695,0,0,0,0,0,0,0,0,0,0,0,0.01625284868024868,530.5479734354016,819447.919799282,32777.91679197128,816084.5890360001,0.04080655863543477,2.5764106486065668,0.07604647224934778,1.6397780006920837,0.04637607786984071,1,530.5479734354016,32777.91679197128,1520.1112215556193,1520.1112215556193,14253.262584005257,14253.262584005257,0,5.351167802
CHN,coa,2022,998004.3235569102,500480.6588089699,486745.6227766451,0.487718952,0.359969474,0.04036232349676297,0.061267026,0.0032,0.024668231496762973,0.015694092,816084.5890360001,0.021468231496762972,301916.78982087324,514167.79921512684,898203.8912012192,954678.1667432506,56474.27554203139,457693.52367309545,56474.27554203139,0.024668231496762973,1,0.36787944117144233,0.4855600839128247,0.7576393805004157,1,0.6132705672094148,19469.824911065803,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1,0.36787944117144233,1.6254811444331987,0.22632033747750485,1,39920.172942276404,32777.91679197128,7418.309190168513,15210.213094545716,474694.1070557478,973294.3637091795,0,2.146641111
CHN,nga,2022,62749.19504670156,13687.140406156954,30785.507201763616,0.490611986,0.363221503,0.07476918266961119,0.084858665,0.005,0.052784606669611184,0.021984576,816084.5890360001,0.047784606669611186,301916.78982087324,514167.79921512684,56474.275542031406,954678.1667432506,898203.8912012192,0,56474.27554203139,0.024668231496762973,2.1397807409314167,0.11768064274138236,0.4855600839128247,0.24236061949958437,1,0.016771717772939308,1231.4202880705448,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1.8524499134844807,0.156852420349217,1.6254811444331987,0.09649599497748161,1,2509.967801868063,32777.91679197128,3162.937694130371,6446.922994927341,32717.02460782344,66686.15023976084,0,4.821221293
CHN,oil,2022,38935.59438700094,2924.3126377526028,2924.3126377526028,0.075106408,0.321523472,0.15372337209925924,0.190673637,0.005,0.08610629209925924,0.06761708,816084.5890360001,0.08110629209925924,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.00358334500741761,116.97250551010411,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,3.808585799367763,0.022179523083939372,1.6254811444331987,0.013644897180073607,1,1557.4237754800379,32777.91679197128,447.25130440345623,5954.902069121136,3254.591436645955,43333.07268064204,0,7.243771288
CHN,nuc,2022,67274.26677116074,50635.03490770764,50635.03490770764,0.752665727,0.329613554,0.052068219,0.052068219,0.0066,0.0066,0.045468219,816084.5890360001,0,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.062046306949038545,2025.4013963083055,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1.2900203578264229,0.2752651792319723,1.6254811444331987,0.1693438156294065,1,2690.9706708464296,32777.91679197128,5550.737497935612,7374.771161774464,54160.371009334944,71958.06726208876,0,0
CHN,wnd,2022,256657.84515094192,56805.34631250516,56805.34631250516,0.221327138,0.977327371,0.051902689,0.051902689,0.0074,0.0074,0.044502689,816084.5890360001,0,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.06960717929939894,2272.2138525002065,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1.2859192559655928,0.27639638778600917,1.6254811444331987,0.17003973791550064,1,10266.313806037679,32777.91679197128,5573.548380722884,25182.39937084843,60106.68084072783,271573.93071575265,0,0
CHN,sol,2022,314053.78245435026,40495.938205366925,40495.938205366925,0.12894587,1,0.053493613,0.053493613,0,0,0.053493613,816084.5890360001,0,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.049622231260613256,1619.8375282146771,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1.3253353217955888,0.2657138445052782,1.6254811444331987,0.16346781100185076,1,12562.15129817401,32777.91679197128,5358.134307184351,41553.36116763066,44234.2349843366,343044.9923238069,0,0
CHN,hyd,2022,329694.92229408165,130816.92955273941,130816.92955273941,0.396781754,1,0.07995943500000001,0.079959769,9.33e-4,9.33e-4,0.079026435,816084.5890360001,0,301916.78982087324,514167.79921512684,0,0,0,0,0,0,0,0,0,0,0,0.16029824764521888,5232.677182109576,819447.919799282,32777.91679197128,816084.5890360001,0.04036232349676297,1.9810414285593023,0.13792552291112536,1.6254811444331987,0.08485212109871607,1,13187.796891763264,32777.91679197128,2781.275764995986,7009.585841479963,128365.52813562582,323516.7112437983,0,0
