CountryCode,FuelType,Capacity.MW,Production.GWh,Production.MWy,RawCapacityFactor,PrimaryEnergyInputToPower.ktoe,PrimaryEnergyInputToPower.PJ,PrimaryEnergyInputToPower.MWy,PowerOutput.GWh,PowerOutput.MWy,LCOE.USD_kWh,BNEFCapacityFactor,CapEx.USD_kW,ThermalEfficiency.Je_Jth.ncv,FixedOpex.USD_kW_y,VarOpex.USD_kWh,CostOfCapital,ConstructionTime,Lifetime,RealEscalationRate,FuelPrice.kwh,FuelCost.kwhe,LCOE.Var.USD_kWh,LCOE.Fixed.USD_kWh,LCOE.TotalCalc.USD_kWh,FuelPriceGlobal,CapacityFactor,EffectiveCapacity.MW,RawThermalEfficiency,ThermalEfficiency,AvailabilityFactor
AGO,coa,0,0,0,0,-0,-0,-0,0,0,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.6587500000000001,0,NA,0.3571428571428571,0.9
AGO,nga,1184,0,0,0,-0,-0,-0,0,0,0.07985714285714286,0.6052380952380952,944.2857142857143,0.44441581862681956,23.860238095238095,0.0032380952380952383,0.07529066666666667,2.4,20,0,0.02139619185,0.048323340373881925,0.051561435611977166,0.02424754151851023,0.0758089771304874,6.974812765,0.6052380952380952,716.6019047619047,NA,0.44441581862681956,0.9
AGO,oil,1443.38,3175.0752,362.4515068493151,0.25111301725762797,1927,80.679636,2556.6358880287303,3001,342.57990867579906,0.12,0.45,2330,0.3231939163498099,50,0.005,0.060685,2.4,20,0,0.03815516106,0.11805655716211765,0.12305655716211765,0.06761707995821443,0.19067363712033208,10.41372881,0.25111301725762797,362.4515068493151,0.14176891928430993,0.14176891928430993,0
AGO,nuc,0,0,0,0,-0,-0,-0,0,0,0.19177777777777777,0.9022222222222223,7644.444444444444,0.33,119.37711111111112,0.003933333333333333,0.10796111111111112,2.4,20,0,0,0,0.003933333333333333,0.17007435799231274,0.17400769132564609,0,0.9022222222222223,0,NA,0.33,0
AGO,wnd,0,0,0,0,-0,-0,-0,0,0,0.063625,0.3464285714285714,1655.357142857143,1,25.751732142857144,0.002910714285714286,0.06602964285714286,2.4,20,0,0,0,0.002910714285714286,0.06503727794893172,0.067947992234646,0,0.3464285714285714,0,NA,1,0
AGO,sol,13,0,0,0,-0,-0,-0,0,0,0.07296774193548387,0.1774193548387097,967.0967741935484,1,16.95501612903226,0,0.07167854838709678,2.4,20,0,0,0,0,0.0770219361256934,0.0770219361256934,0,0.1774193548387097,2.306451612903226,NA,1,0
AGO,hyd,2699,8321.9125,949.9900114155251,0.3519785147890052,751,31.442868,996.3848219561891,8734,997.0319634703196,0.07433333333333333,0.6766666666666666,4293.333333333333,1,28.647000000000002,9.333333333333333e-4,0.06223833333333333,2.4,20,0,0,0,9.333333333333333e-4,0.07902643544720107,0.0799597687805344,0,0.3519785147890052,949.990011415525,0.9534368554013322,0.9534368554013322,0
AGO,ore,0,0,0,0,-0,-0,-0,0,0,0.1406173835125448,0.4001715309779826,4610.524833589349,1,47.56916551459294,0.0025626984126984127,0.06664884152585765,2.4,20,0,0,0,0.0025626984126984127,0.1473904330145508,0.1499531314272492,0,0.4001715309779826,0,NA,1,0
AGO,bio,0,0,0,0,-0,-0,-0,0,0,0.12736363636363637,0.7718181818181818,2988.181818181818,0.35,119.96836363636363,0.007963636363636364,0.06919454545454545,2.4,20,0,0.038437751375999994,0.10982214678857143,0.11778578315220779,0.06202040526288355,0.17980618841509133,10.49085648,0.7718181818181818,0,NA,0.35,0
ALB,coa,0,0,0,0,-0,-0,-0,0,0,0.08334375,0.6587500000000001,1793.75,0.3571428571428571,33.14321875,0.0040437500000000005,0.084074125,2.4,20,0,0.015738518322,0.04445548301433378,0.04849923301433378,0.042621987369771436,0.09112122038410522,4.295530593,0.6587500000000001,0,NA,0.3571428571428571,0.9
