Country.FuelCode,CountryCode,FuelType,Year,PrimaryEnergyInputToPower.ktoe,PowerOutput.GWh,Capacity.MW,PowerOutput.MWy,PrimaryEnergyInputToPower.MWy,CapacityFactor,ThermalEfficiency,AvailabilityFactor,LCOE.TotalCalc.USD_kWh,LCOE.Var.USD_kWh,VarOpex.USD_kWh,LCOE.Fixed.USD_kWh,Production.MWy
bgr.sol,BGR,sol,2018,115,1343,1036,153.31050228310502,152.57557193736582,0.12159724793286437,0.8256547706743103,0,0.0770219361256934,0,0,0.0770219361256934,125.9747488584475
bgr.hyd,BGR,hyd,2018,443,5147,3204,587.5570776255707,587.7476379848093,0.19244009699633452,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,616.5780707762558
bgr.ore,BGR,ore,2018,71,312,0,35.61643835616438,94.19883137002587,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
bgr.bio,BGR,bio,2018,389,1280,179.26255707762556,146.11872146118722,516.1034563794375,1,0.3473384160904211,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,179.26255707762556
bhr.coa,BHR,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
bhr.nga,BHR,nga,2018,8676,29544,6971,3372.6027397260273,11510.831844596401,0.4754116172086707,0.28791093713330534,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,3314.0943835616436
bhr.oil,BHR,oil,2018,1,2,0.23607305936073059,0.228310502283105,1.326744103803181,1,0.17793413114406528,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,0.23607305936073059
bhr.nuc,BHR,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
bhr.wnd,BHR,wnd,2018,-0,0,1,0,-0,0.3464285714285714,1,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,0
bhr.sol,BHR,sol,2018,-0,0,6,0,-0,0.1774193548387097,1,0,0.0770219361256934,0,0,0.0770219361256934,0
bhr.hyd,BHR,hyd,2018,-0,0,0,0,-0,0.6766666666666666,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,0
bhr.ore,BHR,ore,2018,-0,0,0,0,-0,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
bhr.bio,BHR,bio,2018,-0,0,0,0,-0,0.7718181818181818,0.35,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0
bih.coa,BIH,coa,2018,3328,12437,2065,1419.7488584474886,4415.404377456987,0.6878664300640154,0.32170194542867303,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,1420.4441780821917
bih.nga,BIH,nga,2018,6,25,2.557317351598174,2.853881278538813,7.960464622819087,1,0.3212522726710562,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,2.557317351598174
bih.oil,BIH,oil,2018,11,47,230,5.365296803652968,14.594185141834993,0.021097379392495536,0.3324883995314218,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,4.852397260273973
bih.nuc,BIH,nuc,2018,-0,0,0,0,-0,0.9022222222222223,0.33,0,0.17400769132564609,0.003933333333333333,0.003933333333333333,0.17007435799231274,0
bih.wnd,BIH,wnd,2018,9,103,50.6,11.757990867579908,11.940696934228633,0.23462739365062177,0.9942590607663221,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,11.872146118721462
bih.sol,BIH,sol,2018,2,21,18,2.3972602739726026,2.653488207606362,0.13318112633181126,0.9034373196386293,0,0.0770219361256934,0,0,0.0770219361256934,2.3972602739726026
bih.hyd,BIH,hyd,2018,552,6418,2184.6,732.648401826484,732.362745299356,0.3406472957025455,1,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,744.1780821917808
bih.ore,BIH,ore,2018,2,7,0,0.7990867579908676,2.653488207606362,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
bih.bio,BIH,bio,2018,5,1,0.91324200913242,0.1141552511415525,6.633720519015907,1,0.1376666391830292,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,0.91324200913242
blr.coa,BLR,coa,2018,32,26,70,2.9680365296803655,42.455811321701795,0.040769732550554466,0.0672200386635885,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,2.853881278538813
blr.nga,BLR,nga,2018,10302,37890,7588.3,4325.342465753424,13668.117757380372,0.5690172617338023,0.31590843478672037,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,4317.873687214612
blr.oil,BLR,oil,2018,126,264,1410,30.136986301369863,167.16975707920082,0.021373749149907705,0.1802777417873002,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,30.136986301369863
blr.nuc,BLR,nuc,2018,-0,0,0,0,-0,0.91,0.33,0,0.07780054719628723,0.0037,0.0037,0.07410054719628724,0
blr.wnd,BLR,wnd,2018,9,99,11.301369863013699,11.301369863013699,11.940696934228633,1,0.9464581443833258,0,0.067947992234646,0.002910714285714286,0.002910714285714286,0.06503727794893172,11.301369863013699
blr.sol,BLR,sol,2018,15,177,154,20.205479452054796,19.90116155704772,0.08746960801755323,0.676860975983227,0,0.0770219361256934,0,0,0.0770219361256934,13.470319634703197
blr.hyd,BLR,hyd,2018,28,324,95.1,36.986301369863014,37.14883490648907,0.388920098526425,0.9956248012344079,0,0.0799597687805344,9.333333333333333e-4,9.333333333333333e-4,0.07902643544720107,36.986301369863014
blr.ore,BLR,ore,2018,27,75,0,8.561643835616438,35.82209080268589,0.4001715309779826,1,0,0.1499531314272492,0.0025626984126984127,0.0025626984126984127,0.1473904330145508,0
blr.bio,BLR,bio,2018,149,131,600,14.954337899543379,197.68487146667402,0.05183152587519026,0.157315606876659,0,0.17980618841509133,0.11778578315220779,0.007963636363636364,0.06202040526288355,31.098915525114155
bol.coa,BOL,coa,2018,-0,0,0,0,-0,0.6587500000000001,0.3571428571428571,0.9,0.09112122038410522,0.04849923301433378,0.0040437500000000005,0.042621987369771436,0
bol.nga,BOL,nga,2018,1547,6794,1786.79,775.5707762557078,2052.4731285835214,0.4401297909281001,0.38315703050161426,0.9,0.0758089771304874,0.051561435611977166,0.0032380952380952383,0.02424754151851023,786.41950913242
bol.oil,BOL,oil,2018,68,94,30,10.730593607305936,90.21859905861632,0.8062157534246576,0.26808743269251417,0,0.19067363712033208,0.12305655716211765,0.005,0.06761707995821443,24.186472602739727
