CountryCode,TwoLetterCountryCode,FuelType,Year,CapacityMW,ProductionGWh,ProductionMWy,OrigProdGreaterThanOrigCap,CapacityFactor
BEL,BE,coa,2018,1006.5,2331.2265,266.12174657534246,FALSE,0.264403126254687
BEL,BE,hyd,2018,1423,1301.8493,148.61293378995435,FALSE,0.10443635543918085
BEL,BE,nga,2018,4178,23454.1536,2677.414794520548,FALSE,0.6408364754716487
BEL,BE,nuc,2018,5919,28476.4545,3250.7368150684933,FALSE,0.5492037193898451
BEL,BE,oil,2018,1666.9,164.6,18.789954337899545,FALSE,0.011272394467514274
BEL,BE,ore,2018,1.549566210045662,13.5742,1.549566210045662,TRUE,1
BEL,BE,sol,2018,4254.5,3971.7242,453.39317351598174,FALSE,0.10656791009894975
BEL,BE,wnd,2018,3191,7557.551,862.7341324200913,FALSE,0.2703648174303013
BEN,BJ,bio,2018,3,0,0,FALSE,0
BEN,BJ,coa,2018,0,0,0,FALSE,0
BEN,BJ,hyd,2018,1,1.4762,0.16851598173515983,FALSE,0.16851598173515983
BEN,BJ,nga,2018,100,139.922,15.97283105022831,FALSE,0.1597283105022831
BEN,BJ,nuc,2018,0,0,0,FALSE,0
BEN,BJ,oil,2018,254,201.9492,23.053561643835614,FALSE,0.09076205371588825
BEN,BJ,ore,2018,0,0,0,FALSE,0
BEN,BJ,sol,2018,3,5.34,0.6095890410958904,FALSE,0.20319634703196346
BEN,BJ,wnd,2018,0,0,0,FALSE,0
BFA,BF,bio,2018,10.451678082191782,91.5567,10.451678082191782,TRUE,1
BFA,BF,coa,2018,0,0,0,FALSE,0
BFA,BF,hyd,2018,32,91.447,10.439155251141553,FALSE,0.32622360159817354
BFA,BF,nga,2018,0,0,0,FALSE,0
BFA,BF,nuc,2018,0,0,0,FALSE,0
BFA,BF,oil,2018,292,800.7373,91.40836757990868,FALSE,0.3130423547257147
BFA,BF,ore,2018,0,0,0,FALSE,0
BFA,BF,sol,2018,62,54.092,6.174885844748858,FALSE,0.09959493297982029
BFA,BF,wnd,2018,0,0,0,FALSE,0
BGD,BD,bio,2018,0,0,0,FALSE,0
BGD,BD,coa,2018,524,747.3321,85.31188356164384,FALSE,0.16280893809474015
BGD,BD,hyd,2018,230,895.4323,102.218299086758,FALSE,0.4444273873337304
BGD,BD,nga,2018,10877,68810.0107,7855.024052511416,FALSE,0.7221682497482225
BGD,BD,nuc,2018,0,0,0,FALSE,0
BGD,BD,oil,2018,6540,11667.8377,1331.9449429223744,FALSE,0.2036613062572438
BGD,BD,ore,2018,0,0,0,FALSE,0
BGD,BD,sol,2018,201,199.986,22.82945205479452,FALSE,0.11357936345668915
BGD,BD,wnd,2018,3,4.835,0.5519406392694064,FALSE,0.18398021308980214
BGR,BG,bio,2018,179.26255707762556,1570.34,179.26255707762556,TRUE,1
BGR,BG,coa,2018,4495,18607.7879,2124.176700913242,FALSE,0.4725643383566723
BGR,BG,hyd,2018,3204,5401.2239,616.5780707762558,FALSE,0.19244009699633452
BGR,BG,nga,2018,983.265,1946.8687,222.24528538812785,FALSE,0.22602786165288896
BGR,BG,nuc,2018,1926,16148.5617,1843.4431164383564,FALSE,0.9571355744747437
BGR,BG,oil,2018,74,299.776,34.22100456621005,FALSE,0.46244600765148713
BGR,BG,ore,2018,0,0,0,FALSE,0
BGR,BG,sol,2018,1036,1103.5388,125.9747488584475,FALSE,0.12159724793286437
BGR,BG,wnd,2018,701,1378.2922,157.33929223744295,FALSE,0.2244497749464236
BHR,BH,bio,2018,0,0,0,FALSE,0
BHR,BH,coa,2018,0,0,0,FALSE,0
BHR,BH,hyd,2018,0,0,0,FALSE,0
BHR,BH,nga,2018,6971,29031.4668,3314.0943835616436,FALSE,0.4754116172086707
BHR,BH,nuc,2018,0,0,0,FALSE,0
BHR,BH,oil,2018,0.23607305936073059,2.068,0.23607305936073059,TRUE,1
BHR,BH,ore,2018,0,0,0,FALSE,0
BHR,BH,sol,2018,6,0,0,FALSE,0
BHR,BH,wnd,2018,1,0,0,FALSE,0
BHS,BS,bio,2018,0,0,0,FALSE,0
BHS,BS,coa,2018,0,0,0,FALSE,0
BHS,BS,hyd,2018,0,0,0,FALSE,0
BHS,BS,nga,2018,0,0,0,FALSE,0
BHS,BS,nuc,2018,0,0,0,FALSE,0
BHS,BS,oil,2018,627,1955.5217,223.23307077625572,FALSE,0.35603360570375714
BHS,BS,ore,2018,0,0,0,FALSE,0
BHS,BS,sol,2018,1,0,0,FALSE,0
BHS,BS,wnd,2018,0,0,0,FALSE,0
BIH,BA,bio,2018,0.91324200913242,8,0.91324200913242,TRUE,1
BIH,BA,coa,2018,2065,12443.091,1420.4441780821917,FALSE,0.6878664300640154
BIH,BA,hyd,2018,2184.6,6519,744.1780821917808,FALSE,0.3406472957025455
BIH,BA,nga,2018,2.557317351598174,22.4021,2.557317351598174,TRUE,1
BIH,BA,nuc,2018,0,0,0,FALSE,0
BIH,BA,oil,2018,230,42.507,4.852397260273973,FALSE,0.021097379392495536
BIH,BA,ore,2018,0,0,0,FALSE,0
BIH,BA,sol,2018,18,21,2.3972602739726026,FALSE,0.13318112633181126
BIH,BA,wnd,2018,50.6,104,11.872146118721462,FALSE,0.23462739365062177
BLR,BY,bio,2018,600,272.4265,31.098915525114155,FALSE,0.05183152587519026
BLR,BY,coa,2018,70,25,2.853881278538813,FALSE,0.040769732550554466
BLR,BY,hyd,2018,95.1,324,36.986301369863014,FALSE,0.388920098526425
BLR,BY,nga,2018,7588.3,37824.5735,4317.873687214612,FALSE,0.5690172617338023
BLR,BY,nuc,2018,0,0,0,FALSE,0
BLR,BY,oil,2018,1410,264,30.136986301369863,FALSE,0.021373749149907705
BLR,BY,ore,2018,0,0,0,FALSE,0
BLR,BY,sol,2018,154,118,13.470319634703197,FALSE,0.08746960801755323
BLR,BY,wnd,2018,11.301369863013699,99,11.301369863013699,TRUE,1
BLZ,BZ,bio,2018,44,0,0,FALSE,0
BLZ,BZ,coa,2018,0,0,0,FALSE,0
BLZ,BZ,hyd,2018,54.7,247.611,28.26609589041096,FALSE,0.5167476396784453
BLZ,BZ,nga,2018,0,0,0,FALSE,0
BLZ,BZ,nuc,2018,0,0,0,FALSE,0
BLZ,BZ,oil,2018,24,88.745,10.130707762557078,FALSE,0.42211282343987827
BLZ,BZ,ore,2018,0,0,0,FALSE,0
BLZ,BZ,sol,2018,4,0,0,FALSE,0
BLZ,BZ,wnd,2018,0,0,0,FALSE,0
BMU,BM,bio,2018,0,0,0,FALSE,0
BMU,BM,coa,2018,0,0,0,FALSE,0
BMU,BM,hyd,2018,0,0,0,FALSE,0
BMU,BM,nga,2018,0,0,0,FALSE,0
BMU,BM,nuc,2018,0,0,0,FALSE,0
BMU,BM,oil,2018,170.8,635.2088,72.5124200913242,FALSE,0.4245457850780105
BMU,BM,ore,2018,0,0,0,FALSE,0
BMU,BM,sol,2018,0,0,0,FALSE,0
BMU,BM,wnd,2018,0,0,0,FALSE,0
BOL,BO,bio,2018,39.823173515981736,348.851,39.823173515981736,TRUE,1
BOL,BO,coa,2018,0,0,0,FALSE,0
BOL,BO,hyd,2018,690.23,2610.8264,298.0395433789954,FALSE,0.43179743473768945
BOL,BO,nga,2018,1786.79,6889.0349,786.41950913242,FALSE,0.4401297909281001
BOL,BO,nuc,2018,0,0,0,FALSE,0
BOL,BO,oil,2018,30,211.8735,24.186472602739727,FALSE,0.8062157534246576
BOL,BO,ore,2018,0,0,0,FALSE,0
BOL,BO,sol,2018,70,96.7669,11.046449771689499,FALSE,0.15780642530984998
BOL,BO,wnd,2018,27,84.2331,9.615650684931506,FALSE,0.3561352105530187
BRA,BR,bio,2018,14767,53910.293,6154.14303652968,FALSE,0.41674971466985034
BRA,BR,coa,2018,4652,23285.132,2658.120091324201,FALSE,0.5713929689003011
BRA,BR,hyd,2018,104195,388971.076,44403.09086757991,FALSE,0.4261537585064534
