FlowCode,Sector,SubsectorCode
power,pow,pow
road,tra,rod
rail,tra,ral
domesair,tra,avi
domesnav,tra,nav
resident,res,res
food_forest,ind,foo
services,ind,srv
mining_chemicals,ind,mch
ironstl,ind,irn
nonferrmet,ind,nfm
machinery,ind,mac
cement,ind,cem
other_manufact,ind,omn
construc,ind,cst
nonpowertrans,ind,ftr
other,ind,oen
